suite,benchmark,qasm_path,machine,ions_per_region,mapper,reorder,serial_trap_ops,serial_comm,serial_all,gate_type,swap_type,sched_family,sched_version,analyzer_mode,architecture_scale,trap_capacity,lookahead_k,swap_threshold,max_qubits_per_qccd,num_optical_zones,enable_swap_insert,notes,return_code,log_path,wallclock_s,scheduler_build_s,program,summary_machine,summary_version,summary_mapper,total_shuttle,execution_time_us,fidelity,version,scale,num_modules,remote_gate_count,compile_time_s,logical_shuttle_count,physical_shuttle_leg_count,split_count,merge_count,move_count,local_1q_count,local_2q_count,operation_local_2q_count,optical_local_2q_count,storage_local_2q_count,remote_2q_count,fiber_gate_count,regular_fiber_gate_count,swap_insert_gate_count,swap_insert_logical_count,local_1q_time,local_2q_time,operation_local_2q_time,optical_local_2q_time,storage_local_2q_time,fiber_gate_time,swap_insert_time,split_time_total,move_time_total,merge_time_total,shuttle_time_total,gate_mult,regular_gate_mult,swap_insert_gate_mult,operation_local_2q_mult,optical_local_2q_mult,shuttle_mult
architecture_comparison,BV128,programs\BV128.qasm,G3x4,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,medium_baseline,0,output_large\logs\architecture_comparison__BV128__G3x4__cap16__k8__T4__oz1__SABRE__MUSSV7.log,3.996171,0.004920,programs\BV128,G3x4,V7,SABRELarge,79,23052.0,0.17106477190160616,V7,LARGE,1,0,0.057670,79,79,79,79,163,257,127,79,48,0,0,0,0,0,0,1285.0,5080.0,3160.0,1920.0,0.0,0.0,0.0,9360.0,2282.0,6320.0,17962.0,0.271961725277157,0.271961725277157,1.0,0.4520436502664754,0.617290140942288,0.6290031133141002
architecture_comparison,BV128,programs\BV128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,medium_eml,0,output_large\logs\architecture_comparison__BV128__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,2.668935,0.005133,programs\BV128,EML,V7,SABRELarge,15,10694.0,0.23012031026656377,V7,LARGE,4,13,0.092326,15,15,15,15,26,257,123,60,63,0,13,13,4,9,3,1285.0,4920.0,2400.0,2520.0,0.0,2600.0,1800.0,1600.0,364.0,1200.0,3164.0,0.24844172669609052,0.271961725277157,0.9135172474836407,0.5471566423907612,0.5309055429551132,0.9262546727831309
architecture_comparison,GHZ128,programs\GHZ128.qasm,G3x4,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,medium_baseline,0,output_large\logs\architecture_comparison__GHZ128__G3x4__cap16__k8__T4__oz1__SABRE__MUSSV7.log,3.599885,0.000435,programs\GHZ128,G3x4,V7,SABRELarge,109,29330.0,0.14448511380300175,V7,LARGE,1,0,0.028437,109,109,109,109,255,1,127,78,49,0,0,0,0,0,0,5.0,5080.0,3120.0,1960.0,0.0,0.0,0.0,11960.0,3570.0,8720.0,24250.0,0.27901418437620024,0.27901418437620024,1.0,0.45660974774391455,0.6111172395328651,0.5178414643184934
architecture_comparison,GHZ128,programs\GHZ128.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,medium_eml,0,output_large\logs\architecture_comparison__GHZ128__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,3.503011,0.000426,programs\GHZ128,EML,V7,SABRELarge,53,16884.0,0.21598423305934045,V7,LARGE,4,6,0.018403,53,53,53,53,86,1,121,57,64,0,6,6,6,0,0,5.0,4840.0,2280.0,2560.0,0.0,1200.0,0.0,5400.0,1204.0,4240.0,10844.0,0.27901418437620024,0.27901418437620024,1.0,0.5639051904523876,0.525596487525562,0.7740976808839382
architecture_comparison,SQRT117,programs\SQRT117.qasm,G3x4,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,medium_baseline,0,output_large\logs\architecture_comparison__SQRT117__G3x4__cap16__k8__T4__oz1__SABRE__MUSSV7.log,3.125203,0.009024,programs\SQRT117,G3x4,V7,SABRELarge,720,221620.0,2.4704794799766037e-09,V7,LARGE,1,0,0.343012,720,720,720,720,1155,2191,1599,402,1197,0,0,0,0,0,0,10955.0,63960.0,16080.0,47880.0,0.0,0.0,0.0,83880.0,16170.0,57600.0,157650.0,1.023720361714296e-07,1.023720361714296e-07,1.0,0.018873880629922995,6.752721155369454e-06,0.024132366341132666
architecture_comparison,SQRT117,programs\SQRT117.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,medium_eml,0,output_large\logs\architecture_comparison__SQRT117__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,64.573635,0.009093,programs\SQRT117,EML,V7,SABRELarge,274,271584.0,1.7658368526401794e-08,V7,LARGE,4,911,6.731217,274,274,274,274,541,2191,688,66,622,0,911,911,911,0,0,10955.0,27520.0,2640.0,24880.0,0.0,182200.0,0.0,32360.0,7574.0,21920.0,61854.0,8.496375923038894e-08,8.496375923038894e-08,1.0,0.5195640345141521,0.0019279290160405735,0.20783412464741538
architecture_comparison,GHZ256,programs\GHZ256.qasm,G4x5,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,large_baseline,0,output_large\logs\architecture_comparison__GHZ256__G4x5__cap16__k8__T4__oz1__SABRE__MUSSV7.log,2.953104,0.000731,programs\GHZ256,G4x5,V7,SABRELarge,307,79814.0,0.01140708683671192,V7,LARGE,1,0,0.087920,307,307,307,307,741,1,255,190,65,0,0,0,0,0,0,5.0,10200.0,7600.0,2600.0,0.0,0.0,0.0,34680.0,10374.0,24560.0,69614.0,0.07707813374565965,0.07707813374565965,1.0,0.1481449915475795,0.5203405226503064,0.1479938120239484
architecture_comparison,GHZ256,programs\GHZ256.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,large_eml,0,output_large\logs\architecture_comparison__GHZ256__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,2.567839,0.000713,programs\GHZ256,EML,V7,SABRELarge,77,28580.0,0.05255230295844897,V7,LARGE,8,15,0.043118,77,77,77,77,130,1,240,112,128,0,15,15,15,0,0,5.0,9600.0,4480.0,5120.0,0.0,3000.0,0.0,8000.0,1820.0,6160.0,15980.0,0.07707813374565965,0.07707813374565965,1.0,0.3244455298634257,0.2762516676992082,0.6818055965373979
architecture_comparison,SQRT299,programs\SQRT299.qasm,G4x5,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,large_baseline,0,output_large\logs\architecture_comparison__SQRT299__G4x5__cap16__k8__T4__oz1__SABRE__MUSSV7.log,4.003098,0.029946,programs\SQRT299,G4x5,V7,SABRELarge,2017,633954.0,3.1370426499077227e-25,V7,LARGE,1,0,1.028232,2017,2017,2017,2017,4416,5983,4376,810,3566,0,0,0,0,0,0,29915.0,175040.0,32400.0,142640.0,0.0,0.0,0.0,235720.0,61824.0,161360.0,458904.0,5.72578890175182e-20,5.72578890175182e-20,1.0,0.0003351556534940699,3.1077077021382743e-16,5.478795505276044e-06
architecture_comparison,SQRT299,programs\SQRT299.qasm,EML,16,SABRELarge,Naive,1,1,1,FM,PaperSwapDirect,MUSS,V7,PAPER,LARGE,16,8,4,32,1,1,large_eml,0,output_large\logs\architecture_comparison__SQRT299__EML__cap16__k8__T4__oz1__SABRE__MUSSV7.log,2266.042674,0.024441,programs\SQRT299,EML,V7,SABRELarge,590,774716.0,1.4987971726943887e-21,V7,LARGE,10,2912,65.279569,590,590,590,590,1159,5983,1464,93,1371,0,2912,2912,2912,0,0,29915.0,58560.0,3720.0,54840.0,0.0,582400.0,0.0,70320.0,16226.0,47200.0,133746.0,4.44891833410126e-20,4.44891833410126e-20,1.0,0.4004675711366834,1.037174410653572e-06,0.03368902416585175
